Date,Time,Location,Operator,Flight #,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Coordinates,Latitude,Longitude
9/12/1961,22:09," Rabat, Morrocco",Air France,2005,Paris - Rabat,Sud-Aviation Caravelle III,F-BJTB,68,77,77,0,"The aircraft crashed and burned while attempting to land at Sale Airport. With its landing gear down and flaps partially extended, the plane struck the ground in a slight nose-down attitude. Possible misread altimeter.","33.9715904,-6.8498129",33.9715904,-6.8498129
9/5/1961,," Sendafar, Ethiopia",Ethiopian Airlines,,Addis Ababa - Asmara,Douglas DC-3,ET-T-16,13305,19,5,0,Malfunctioning propeller. The pilot tried to turn back for an emergency landing but crashed.,"9.1495559,39.0241756",9.1495559,39.0241756
7/21/1961,2:11,"Shemya, Alaska",Alaska Airlines,,Seattle - Shemya AFB,Douglas DC-6A,N6118C,45243/919,6,6,0,"Undershot the runway by 200 feet, crashed and burned. Absence of approach and runway lights. Lack of guidance from air trafficontroller during last stages of flight.","52.7228375,174.1123656",52.7228375,174.1123656
7/19/1961,8:00," Azul, Argentina",Aerolineas Argentinas,,Buenos Aires - Comodoro,Douglas DC-6,LV-ADW,43136,67,67,0,The aircraft disintegrated in flight following the application of loads in excess of the design loads. The aircraft entered an area of extreme turbulence and was struck by lightning.,"-36.7749672,-59.8540382",-36.7749672,-59.8540382
7/11/1961,11:36,"Denver, Colorado",United Air Lines,859,Omaha - Denver,McDonnell Douglas DC-8-12,N8040U,45307,122,17,1,"Following takeoff from Omaha, hydraulidifficulties were experienced. The flight was continued to Denver where the aircraft experienced asymmetrical reverse thrust while landing and crashed into a maintenance truck and burned. Asymmetrical thrust during the landing attempt due to a hydrauliemergency.  Numbers 1 & 2 thrust reversers failed.  The crew failed to activate the back-up high-pressure air bottle used to hold the reverse ejectors in the extended position during a hydrauliemergency.  Poor evacuation procedures.  A contributing factor was the  failure of the first officer to monitor the thrust reverse indicator lights when applying reverse thrust and the crew's lack of training and knowledge on the aircraft's hydraulisystem. The driver of the maintenance truck was killed.","39.7392358,-104.9902510",39.7392358,-104.990251
7/10/1961,,"Odessa, Ukraine, USSR",Aeroflot,,,Tupolev TU-104B,CCCP-42447,,85,1,0,Hit apporach lights while trying to land in heavy rain.,"46.4825260,30.7233095",46.482526,30.7233095
5/10/1961,2:30,"Stah, Algeria",Air France,406,"Fort Lamy, Chad - Marseilles, France",Lockheed 1649A Starliner,F-BHBM,1027,78,78,0,"While en route from Fort Lamy, Chad to Marseilles, France, the airliner crashed and burned in the Sahara Desert on the Algeria / Libya border. Detonation of a nitrocellulose bomb.","28.9230155,9.7678687",28.9230155,9.7678687
1/28/1961,12'20,"Off Montauk Point, New York",American Airlines,,Training,Boeing 707-123,N7502A,17629/8,6,6,0,Crashed into the AtlantiOcean and exploded.,"41.0359353,-71.9545146",41.0359353,-71.9545146
1/3/1961,7:40,"Koivulahti, Finland",Finnair,311,Kokkola - Vaasa,Douglas DC-3,OH-LCC,14066/25511,25,25,0,"Crashed into woods while attempting to land. Both pilots tested positive for alcohol.  In addition, the pilot did not have enough sleep the night before and was not considered to be in satisfactory mental and physical condition to undertake the flight.","63.1606218,21.8418931",63.1606218,21.8418931
12/16/1960,10:33,"Staten Island / Brooklyn, New York",United Air Lines,826/266,Chicago - New York City / Columbus - New York City,MD DC-8-11 / Lockheed  1049 S Const,N8013U/N6907C,45290 /4021,128,128,6,"A midair collision took place over Staten Island at 5,000 ft. The Connie was cleared to land at La Guardia Airport on Runway 04 when the United DC-8 struck the Connie tearing it apart. The Connie immediately crashed to the ground at Miller Army Air Field on Staten Island. One passenger was sucked out into one of the DC8s jet engines. Other passengers fell from the Connie as the spinning fuselage fell onto Staten Island. The United jet tried to make an emergency landing at La Guardia Airport but could not maintain altitude and crashed into the streets of Brooklyn. Forty-four passengers on the Constellation and eight-four passengers on the DC-8 were killed. Three passengers from the DC-8 died shortly after. One young boy, Stephen Baltz survived several days before succumbing to his injuries. Six people were also killed on the ground. The United crew entered a low-altitude holding pattern at 500 miles per hour, twice the speed it should have been going and flew past the clearance limits and airspace allocated to the flight. One of 2 VORs on the DC-8 was not functioning. Although the crew knew this, they failed to report this to the ATC, who probably would have provided extra radar assistance.","40.5795317,-74.1502007",40.5795317,-74.1502007
10/21/1960,,"Ust-Orda, Russia",Aeroflot,,,Tupolev Tu-104A,CCCP-42452,96601701,3,3,0,Crashed after a premature descent.,"52.8077256,104.7350371",52.8077256,104.7350371
9/26/1960,23:40,"Moscow, Russia",Austrian Airlines,901,Warsaw - Moscow,Vickers Viscount 837,OE-LAF,437,37,31,0,"Crashed on approach to Moscow, 11 nm short of the runway. Malfunctioning or misread altimeter.","55.7558260,37.6172999",55.755826,37.6172999
9/7/1960,," Salto, Uruguay",Aerolineas Argentinas,,Asuncion - Buenos Aires,Douglas DC-6,LV-ADS,43031/127,31,31,0,"Crashed in a storm. Separation of propeller followed by disintegration of the aircraft. Overspeeding of No.3 propeller caused by irregular operation of the propeller governor, detachment of that propeller and impact with that of No.4 engine, followed by disintegration of the aircraft.","-31.3880280,-57.9612455",-31.388028,-57.9612455
8/29/1960,6:50,"Off Dakar, Senegal",Air France,343,Paris - Dakar,Lockheed 1049G Super Constellation,F-BHBC,4622,63,63,0,"The aircraft crashed into the AtlantiOcean after an unsuccessful landing attempt. Cause undetermined. Possible structural failure or loss of control due to turbulence, sensory illusion or distraction of the flight crew which could have been associated with a lightning strike.","14.7166770,-17.4676861",14.716677,-17.4676861
8/17/1960,,"Kiev, Ukraine, USSR",Aeroflot,,Cairo - Moscow,Ilyushin IL-18,CCCP 75705,189001702,35,35,0,Crashed after an in-flight fire aboard the aircraft.,"50.4501000,30.5234000",50.4501,30.5234
7/15/1960,9:40," Jima, Ethiopia",Ethiopian Airlines,372,Bulchi - Jimma,Douglas DC-3,ET-T-18,12926,11,1,0,"Crashed onto a mountainside at 9,000 ft. The pilot misjudged the weather conditions and continued to fly into deteriorating weather conditions while trying to maintain VFR. The pilot attempted to climb at a speed below the minimum safe climbing speed of the aircraft.","7.6738908,36.8357927",7.6738908,36.8357927
5/23/1960,11:52,"Atlanta, Georgia",Delta Air Lines,,Training,Convair CV-880,N8804E,22-00-16,4,4,0,"The aircraft stalled for reasons undetermined, at an altitude too low to effect recovery.","33.7489954,-84.3879824",33.7489954,-84.3879824
5/18/1960,,"El Sosneado, Argentina",American Airlines,,Buenos Aires - Santiago,Curtiss C-46,LV-GGJ,22554,10,10,0,Crashed due to structural failure after flying into extremely violent turbulence. Insufficient preparation for the flight by the crew. Inadequate arrangements for the secure carriage of the livestock. The pilots failure to familiarize himself with the prevailing weather conditions. Not found until 11/21/61.,"-35.0794394,-69.5778661",-35.0794394,-69.5778661
3/16/1960,," Tokyo, Japan",All Nippon Airways,,Tokyo - Nagoya,Douglas DC-3,JA-5018,6006,33,3,0,Mid-air collision with a Japan Air Self Defence Force F-86 fighter which was taking off from Nagoya. Both planes crashed but the F-86 pilot ejected safely.,"35.6761919,139.6503106",35.6761919,139.6503106
2/26/1960,,"Shannon, Ireland",Alitalia,,Shannon - New York City,Douglas DC-7C,I-DUVO,45231/945,52,34,0,Lost altitude shortly after taking off and crashed. Cause unknown.,"52.7124708,-8.8730677",52.7124708,-8.8730677
2/26/1960,,"Lvov, Ukraine, USSR",Aeroflot,,,Antonov AN-10,CCCP-11180,,32,32,0,Crashed during approach.,"49.8396830,24.0297170",49.839683,24.029717
1/21/1960,,"Montego Bay, Jamacia",AVIANCA,671,Miami - Montigo Bay,Lockheed 1049E Super Constellation,HK-177,4556,46,37,0,A heavy landing led to structural failure and a fire. The adoption of a final approach path resulting in a heavy landing during which a major structural failure occurred in the port wing. Crew fatigue. Lack of proper training.,"18.4762228,-77.8938895",18.4762228,-77.8938895
12/21/1959,7:16,"Rome, Italy",Alitalia,,Training,Vickers 785D Viscount,I-LIZT,378,2,2,0,Crashed into a hanger during a practice landing. The accident was attributed to a balked landing maneuver carried out below the speed limits for safe directional control of the aircraft during a critical situation that developed in the last phase of the landing in the course of a simulated emergency exercise with two power units inoperative.,"41.9027835,12.4963655",41.9027835,12.4963655
12/13/1959,," Tashkent, Uzbekistan, USSR",Aeroflot,,Kabul - Tashkent,Ilyushin IL-18,,,29,29,0,Crashed into a mountain while en route.,"41.2994958,69.2400734",41.2994958,69.2400734
11/16/1959,,"Lvov, Ukraine, USSR",Aeroflot,,,Antonov AN-10,CCCP-11167,9401402,40,40,0,Crashed during approach.,"49.8396830,24.0297170",49.839683,24.029717
8/27/1959,," Asuncion, Paraguay",Aerolineas Argentinas,,,de Havilland DH-106 Comet 4,LV-AHP,6411,50,2,0,The aircraft descended below MDA and crashed 5 miles short of the runway while on approach to Asuncion. Pilot error.,"-25.2637399,-57.5759260",-25.2637399,-57.575926
8/15/1959,16:42,"Calverton, New York",American Airlines,514,Training,Boeing 707-123,N7514A,17641/36,5,5,0,The crew failed to recognize and correct the development of excessive yaw which caused an unintentional rolling maneuver at an altitude too low to permit complete recovery.,"40.9064873,-72.7434331",40.9064873,-72.7434331
6/23/1959,,"Cerros Baco, Peru",AVIANCA,,Bogota - Lima,Douglas DC-4,HK-135,10418,14,14,0,Crashed into a Cerro Baco mountain.,"-10.4333333,-77.8500000",-10.4333333,-77.85
5/15/1959,,"Off Mar del Plata, Aregntina",Aerolineas Argentinas,,Mar del Plata - Bahia Blanca,Douglas DC-3,LV-AFW,19790,10,10,0,Crashed into the sea during a steep turn following a takeoff at night. Undetermined cause.,"-38.0054771,-57.5426106",-38.0054771,-57.5426106
3/5/1959,11:35,"Managua, Nicaragua",TACA,,Las Mercedes - Tegucigalpa,Vickers Viscount 763,YS-09C,82,19,15,0,"Crashed shortly after takeoff, inverted, into trees. Failure of No. 1 engine on climbout. The non-retraction of the landing gear immediately after the aircraft reached V2. Failure of engine No. 2 a few seconds later. The aircraft banked left, lost altitude and collided with trees. Engine failure cause unknown.","12.1149926,-86.2361744",12.1149926,-86.2361744
2/3/1959,23:56,"La Guardia Airport, New York, NY",American Airlines,320,Chicago - New York City,Lockheed  188A Electra,N6101A,1015,73,65,0,"While attempting to land in rain and fog at La Guardia Airport, the aircraft descended below the minimum altitude and crashed into the East River. The aircraft struck the water while in shallow descent at 150 mph with its landing gear and flaps extended. Primarily the crash resulted from the failure of the crew to properly monitor essential instruments for determining attitude due to preoccupation with particular aspects of the aircraft and its environment. Limited experience of the crew with this particular type of aircraft. Erroneous setting of the captain's altimeter. Possibly misinterpretation of the altimeter and rate of descent indicator.","40.7769271,-73.8739659",40.7769271,-73.8739659
1/11/1959,,"Rio de Janeiro, Brazil",Lufthansa,,Hamburg - Rio de Janeiro,Lockheed 1049G Super Constellation,D-ALAK,4602,39,36,0,"The plane descended over Guanabara Bay in rain, struck the water with the nosewheel and crashed on Flecheiras Beach, short of the runway. Descent below minima for reasons unknown. Crew fatigue possible.","-22.9068467,-43.1728965",-22.9068467,-43.1728965
10/17/1958,," Kanash, Russia",Aeroflot,,Peking - Moscow,Tupolev TU-104A,CCCP-42362,,80,80,0,"The plane was on a flight from Peking to Moscow at FL330 when it went out of control. The aircraft experienced extreme turbulence during a climb, stalled and plunged to earth and burned. The captain described everything as it happened as he attempted to recover from the uncontrolled descent, ending the radio transmission with a farewell.","55.5096000,47.4993967",55.5096,47.4993967
8/15/1958,," Chita, Russia",Aeroflot,,,Tupolev TU-104-A,CCCP-L5442,,64,64,0,The aircraft stalled after flying over a thunderstorm. The aircraft climbed in excess of its operational ceiling considering its weight.,"52.0515032,113.4711906",52.0515032,113.4711906
8/12/1958,,Japan,All Nippon Airways,,Tokyo - Nagoya,Douglas DC-3,JA5045,7336,33,33,0,Ditched into the sea near Izu Island appoximately 1 hour after taking off after experiencing engine trouble.,"36.2048240,138.2529240",36.204824,138.252924
5/31/1958,,"SW of Algiers, Algeria",Air France,,Algier - Colomb-Bechar - Tindouf,Douglas DC-3,F-BHKV,20001,15,15,0,Crashed into mountains 100 miles southwest of Algiers.,"36.7537680,3.0587561",36.753768,3.0587561
4/21/1958,8:30," Sloan, 10 miles SW of Las Vegas, Nevada",United Air Lines,736,Los Angeles - New York City,Douglas DC-7 / F-100F,N6328C/56-3755,45142 /243-31,49,49,0,"The DC-7 was en route from Los Angeles to Denver flying at 21,000 ft. The military jet was on a training mission being conducted under VFR. The fighter initiated an evasive maneuver just prior to colliding with the airliner. Both trainee and instructor aboard the F-100 were killed along with all forty-seven aboard the DC-7 airliner. A high rate of  head-on closure at high altitude,  human and cockpit limitations and the failure of Nellis Air Force Base and the Civil Aeronautics Administration to take measures to reduce a known collision exposure as training exercises were allowed to be conducted within the confines of several airways after numerous close calls with military jets had been reported by airline crews for more than a year prior to the tragedy.","35.9435864,-115.2172168",35.9435864,-115.2172168
